Dropzone Name,,State/County,Country,Address
Skydive Unique Clouds,Riyadh,,Saudi Arabia,Mulhm Airport      
Skydive Utah,Salt Lake City,UT,United States,Tooele Valley Airport Erda    
Skydive Vancouver,Vancouver,,Canada,Skydive Vancouver Airport British Columbia   
Skydive Vancouver Island,Nanaimo,,Canada,Qualicum Beach Airport     
Skydive Vatulino,Moscow,,Russia,Vatulino Airfield Ruza     
Skydive Weiand,Haikou,,China,Xi Qing Airport Ding Zhou   
Skydive West Plains,Spokane,WA,United States,Ritzville Aero Recreation     
Skydive Whitefish,Whitefish,MT,United States,Whitefish Airport      
Skydive Wissota/Indianhead SPC,Chippewa Falls,WI,United States,Lake Wissota Airport Chippewa Falls   
Skydive Yosemite,Yosemite,CA,United States,Mariposa-Yosemite Airport      
Skydive Zadar,Zadar,,Croatia,Zadar Airport Botsanac     
Skydive Zanzibar,Zanzibar City,,Tanzania,Nungwi Airport      
Skydive ZhuHai,Zhuhai,,China,Yanguan Airport Zhuitan City    
Skydiving Kansai,Kyoto,,Japan,Tajima Kansai      
Skyhigh India,Narnaul,,India,Narnaul Airport      
Skylark Skydive,Austin,TX,United States,Skylark Airfield Killeen     
Start Skydiving,Cincinnati,OH,United States,Middletown Regional Airport     
Sun City Skydive,Santa Teresa,NM,United States,Dona Ana County International Airport Santa Teresa 
Texas Skydiving,Austin,TX,United States,Lexington Airfield      
Thai Sky Adventures Ltd.,Bangkok,,Thailand,Nong Khao Airfield Chon Buri Pattaya  
The California Parachute Club,Livermore,CA,United States,       
Timisoara Parachute Club Sportiv,Timisoara,,Romania,Sannihaiu German Aerodrome     
TNT-Brothers Dropzone,Bucharest,,Romania,Clinceni Airport      
TNT-Brothers Seaside,Constanta,,Romania,Aeroport International Tulsa     
Tokyo Skydiving Club,Tokyo,,Japan,Honda Airport Saitama     
UConn Skydiving Club,Ellington,CT,United States,Ellington Airport      
Upstate Skydiving LLC,Union,SC,United States,Union County Airport     
Vermont Skydiving Adventures Inc.,Burlington,VT,United States,Two Farm Acres Airport    
Viva Skydive,Albuquerque,NM,United States,Belen Regional Airport     
Vizone S.S.D.,Milan,,Italy,Carlo de Martino Vercelli    
West Tennessee Skydiving,Memphis,TN,United States,Wings Field Whiteville     
West Virginia Skydivers Inc.,Huntington,WV,United States,Robert Newlon Field Airport    
WNYSkydiving,,NY,United States,Pine Hill Airport Albion    
Xielo Skydive,Girardot,,Colombia,Santiago Vila Flandes     
Yan Huang Skydive,Zhengzhou,,China,Liaoyang Beijiao Airport     
Army Parachute Association,Netheravon,Wiltshire,United Kingdom,"Airfield Camp, Netheravon, Wiltshire, SP4 9SF"
Beccles Skydivers,Beccles,Suffolk,United Kingdom,"Beccles Airfield, Ellough, Beccles, Suffolk, NR34 7XD"
Black Knights Parachute Club,Cockerham,Lancashire,United Kingdom,"Hillam Lane, Cockerham, Lancashire, LA2 0DY"
